region,crop,crop_variety,season,soil_ph,soil_moisture_pct,nitrogen_N_mg_kg,phosphorus_P_mg_kg,potassium_K_mg_kg,rainfall_mm,temperature_c,farm_size_acres,yield_value,yield_unit,yield_category
Volta,Maize,Hybrid OPV,Major,5.95,57.8,131.6,14.3,185.6,1195.7,27.0,0.5,10.96,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,4.86,47.4,128.6,11.6,135.0,1388.3,27.6,2.49,11.0,bags_per_acre,Low
Volta,Maize,Pioneer 30G19,Minor,6.6,54.7,72.2,27.6,141.1,1128.6,26.4,0.5,13.53,bags_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Major,5.61,65.2,114.3,61.2,61.1,1309.6,26.9,3.73,13.4,bags_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Minor,6.88,58.6,67.4,2.0,116.9,1364.5,26.6,0.5,8.31,bags_per_acre,Low
Western,Tomato,F1 Hybrid,Major,5.9,51.5,23.0,30.8,128.8,2017.8,24.6,1.21,3595.7,kg_per_acre,Medium
Western,Tomato,F1 Hybrid,Major,5.76,30.9,87.0,64.9,96.4,1747.0,23.2,2.39,3666.8,kg_per_acre,Medium
Western,Tomato,F1 Hybrid,Major,6.5,50.8,133.8,33.3,91.5,1713.6,26.2,5.5,5014.7,kg_per_acre,High
Northern,Maize,Hybrid OPV,Minor,7.14,71.9,118.6,38.4,128.0,681.3,27.5,0.53,6.64,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.32,30.5,167.2,32.9,122.0,1045.5,27.2,3.03,16.95,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Minor,5.17,48.1,102.3,76.4,53.1,2064.6,26.1,0.5,10.4,bags_per_acre,Low
Eastern,Tomato,Pectomech,Minor,6.48,44.5,88.6,51.3,198.1,897.9,25.8,0.5,2623.4,kg_per_acre,Medium
Volta,Tomato,F1 Hybrid,Major,6.04,34.6,57.3,20.4,123.3,1162.9,26.8,1.31,2710.1,kg_per_acre,Medium
Northern,Tomato,Pectomech,Major,6.08,60.4,83.7,47.8,20.0,782.5,30.3,1.01,1843.3,kg_per_acre,Low
Northern,Tomato,Pectomech,Major,5.78,74.2,47.3,52.0,109.5,739.7,28.8,5.02,2130.4,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Major,5.59,70.0,68.2,37.8,146.3,1105.9,29.4,4.46,3343.5,kg_per_acre,Medium
Western,Tomato,Local,Major,5.4,57.0,27.3,43.1,237.4,1581.1,24.7,10.82,1776.7,kg_per_acre,Low
Western,Tomato,Local,Major,4.95,78.3,5.0,19.6,104.8,1928.0,26.1,4.9,808.3,kg_per_acre,Low
Eastern,Tomato,Pectomech,Minor,5.35,63.3,72.3,30.0,169.9,1275.6,26.2,2.04,2078.1,kg_per_acre,Low
Northern,Maize,Pioneer 30G19,Minor,5.67,70.4,5.6,29.3,160.8,950.2,27.6,1.42,5.57,bags_per_acre,Low
Eastern,Maize,Local,Major,6.37,35.6,160.5,3.8,113.3,1309.3,29.8,0.5,7.98,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,5.04,55.4,63.3,25.4,183.0,1136.4,29.8,6.58,2356.5,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Minor,5.89,22.0,119.2,51.2,104.9,1236.9,26.7,1.94,6.87,bags_per_acre,Low
Western,Maize,Hybrid OPV,Major,6.01,59.4,172.6,38.2,175.1,1757.0,26.2,1.89,18.63,bags_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Minor,6.54,52.3,166.0,33.8,91.0,1127.5,23.8,5.95,14.96,bags_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Minor,6.59,45.0,21.5,62.1,123.7,1622.8,24.1,0.5,11.87,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Major,5.77,57.0,52.9,2.0,108.9,1056.7,28.0,1.73,2213.5,kg_per_acre,Low
Western,Maize,Local,Major,6.14,60.9,146.3,43.2,174.9,1567.1,27.3,0.88,12.69,bags_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Minor,5.88,57.3,39.9,63.9,125.5,1601.1,27.0,3.68,15.11,bags_per_acre,Medium
Eastern,Tomato,Pectomech,Minor,5.87,52.3,79.4,26.1,74.4,1314.3,27.4,5.81,2353.7,kg_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Minor,6.08,44.3,59.2,17.5,94.4,1105.2,26.7,0.71,12.21,bags_per_acre,Medium
Eastern,Maize,Local,Major,5.63,38.5,122.3,17.9,111.5,1237.7,27.5,5.21,9.46,bags_per_acre,Low
Northern,Tomato,Pectomech,Major,6.1,58.3,108.4,31.7,158.5,900.4,29.4,0.5,2233.3,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Major,5.33,82.0,27.4,86.7,158.3,1117.0,28.4,0.79,6.39,bags_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Major,5.78,25.2,53.1,36.9,146.5,883.3,27.0,0.5,1895.8,kg_per_acre,Low
Ashanti,Maize,Local,Major,5.11,56.8,69.8,33.4,149.1,1312.3,25.5,9.04,8.56,bags_per_acre,Low
Western,Maize,Pioneer 30G19,Major,6.74,58.9,30.2,16.6,202.8,1762.8,25.9,2.71,15.24,bags_per_acre,Medium
Northern,Maize,Pioneer 30G19,Minor,5.7,36.4,68.0,25.3,166.5,931.1,26.6,0.5,9.31,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.78,22.1,108.4,39.5,86.7,1149.0,28.0,7.11,2679.3,kg_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,4.65,45.5,43.0,44.9,119.5,1193.2,30.9,2.3,7.03,bags_per_acre,Low
Northern,Tomato,Pectomech,Major,5.92,84.0,94.6,10.5,101.7,861.1,33.1,0.5,1582.3,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,7.0,55.7,97.7,77.6,143.5,1086.7,26.8,2.48,3446.8,kg_per_acre,Medium
Northern,Maize,Pioneer 30G19,Major,6.56,61.1,78.4,38.7,181.6,897.6,28.7,0.5,10.65,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Minor,6.11,40.0,117.0,14.9,155.0,1174.7,27.2,1.27,2720.5,kg_per_acre,Medium
Eastern,Maize,Pioneer 30G19,Minor,5.17,52.1,131.8,12.3,237.0,1116.9,26.1,2.1,12.98,bags_per_acre,Medium
Volta,Maize,Hybrid OPV,Major,6.43,27.9,78.6,13.7,119.9,992.5,27.2,4.45,8.85,bags_per_acre,Low
Northern,Maize,Hybrid OPV,Minor,5.48,69.0,9.9,26.7,196.4,850.1,28.5,0.77,5.25,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Minor,6.17,49.1,84.6,33.7,103.2,1234.4,27.1,2.12,14.86,bags_per_acre,Medium
Brong-Ahafo,Tomato,F1 Hybrid,Major,7.07,72.8,65.2,2.0,118.3,1154.0,26.8,3.39,2748.5,kg_per_acre,Medium
Volta,Maize,Local,Minor,6.43,51.1,101.8,46.8,41.9,1201.2,26.7,3.86,7.46,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Minor,6.88,55.8,115.7,11.7,127.4,1281.1,25.6,0.63,14.21,bags_per_acre,Medium
Northern,Maize,Local,Minor,6.89,31.7,124.5,32.8,298.9,595.2,31.6,1.38,3.55,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,5.43,49.1,73.5,42.5,99.0,1005.3,27.2,0.81,11.13,bags_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,5.95,45.1,103.7,71.4,103.4,1012.7,29.0,2.35,12.74,bags_per_acre,Medium
Western,Tomato,Pectomech,Major,6.64,58.5,122.2,12.3,117.3,1979.0,26.9,0.5,3140.3,kg_per_acre,Medium
Western,Tomato,Pectomech,Minor,5.66,37.9,74.6,55.3,135.9,2373.5,26.1,0.5,2354.4,kg_per_acre,Low
Ashanti,Maize,Hybrid OPV,Minor,5.62,52.6,117.3,30.8,189.0,1825.5,25.3,5.64,10.72,bags_per_acre,Low
Western,Maize,Local,Major,6.2,39.7,48.4,51.4,151.8,1837.3,24.5,1.46,10.63,bags_per_acre,Low
Eastern,Tomato,Pectomech,Major,6.73,30.9,28.9,16.0,192.1,1207.2,27.4,4.47,1748.3,kg_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.54,41.1,115.5,39.3,97.2,1284.6,28.0,2.76,19.45,bags_per_acre,Medium
Eastern,Maize,Hybrid OPV,Major,5.56,67.5,73.1,35.6,158.5,1513.2,26.0,0.76,12.18,bags_per_acre,Medium
Volta,Tomato,Pectomech,Minor,5.77,47.9,99.8,22.1,182.7,1054.1,25.0,3.19,2209.8,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,6.15,82.3,76.6,19.5,82.0,1127.7,28.1,1.66,10.79,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Major,6.92,33.1,82.9,17.4,131.8,1204.2,27.9,3.66,7.04,bags_per_acre,Low
Volta,Maize,Local,Major,5.6,61.7,43.4,21.3,110.1,1204.5,28.1,0.5,7.35,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,5.72,37.2,85.4,43.7,139.0,1081.2,26.4,4.95,10.47,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Major,5.66,34.7,133.6,18.3,185.0,1223.8,28.9,3.5,8.19,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,5.6,55.9,83.4,2.0,71.1,1327.2,30.1,1.49,2049.6,kg_per_acre,Low
Volta,Tomato,Local,Major,5.45,80.2,101.5,23.3,77.2,967.3,26.9,0.5,1517.1,kg_per_acre,Low
Western,Tomato,F1 Hybrid,Major,6.17,57.2,49.7,4.4,214.6,2111.1,22.1,10.7,3050.1,kg_per_acre,Medium
Ashanti,Maize,Local,Major,6.0,71.7,134.6,22.0,182.1,1522.8,22.3,0.5,11.55,bags_per_acre,Low
Eastern,Tomato,Pectomech,Minor,6.34,72.0,75.6,21.0,161.6,1360.0,27.9,0.5,2940.7,kg_per_acre,Medium
Western,Tomato,F1 Hybrid,Major,5.76,47.7,107.4,20.2,111.1,1826.7,25.1,1.42,4331.3,kg_per_acre,Medium
Western,Maize,Hybrid OPV,Minor,6.28,52.5,178.3,61.1,161.1,1772.7,24.7,4.65,15.7,bags_per_acre,Medium
Eastern,Tomato,F1 Hybrid,Major,5.62,61.4,90.8,26.0,168.0,1410.7,27.2,2.63,4245.1,kg_per_acre,Medium
Ashanti,Tomato,F1 Hybrid,Minor,5.9,40.8,82.9,4.0,103.0,1348.7,26.1,9.04,2400.2,kg_per_acre,Low
Ashanti,Maize,Local,Minor,5.24,51.1,122.7,37.7,154.6,1361.6,28.2,4.65,8.66,bags_per_acre,Low
Ashanti,Tomato,Local,Major,6.53,49.2,63.0,13.1,97.7,1655.3,24.9,3.39,2007.8,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Minor,6.35,51.1,106.0,2.0,141.1,1626.9,26.0,0.5,7.97,bags_per_acre,Low
Volta,Maize,Local,Major,5.33,66.6,95.2,26.0,171.8,1063.4,28.9,5.08,7.79,bags_per_acre,Low
Eastern,Tomato,Pectomech,Minor,5.72,53.8,117.3,17.2,99.5,1336.6,27.7,0.5,2266.0,kg_per_acre,Low
Ashanti,Tomato,Pectomech,Minor,5.88,23.6,71.8,14.2,96.6,1375.3,27.9,0.5,1470.2,kg_per_acre,Low
Brong-Ahafo,Tomato,Pectomech,Minor,5.44,22.9,67.4,38.7,145.7,1472.6,27.5,0.51,1246.2,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,6.47,26.7,30.7,32.9,60.5,1507.8,25.1,3.01,10.44,bags_per_acre,Low
Northern,Tomato,F1 Hybrid,Minor,5.54,53.5,112.7,24.1,51.0,721.3,30.1,9.35,1919.8,kg_per_acre,Low
Western,Maize,Hybrid OPV,Major,6.23,23.2,36.3,27.1,253.1,1593.4,24.4,5.08,9.91,bags_per_acre,Low
Volta,Maize,Local,Major,6.25,42.7,102.9,40.9,187.5,1168.9,27.0,3.59,9.84,bags_per_acre,Low
Brong-Ahafo,Tomato,Local,Minor,5.84,64.0,112.6,35.7,144.6,1104.5,26.0,1.02,1963.7,kg_per_acre,Low
Northern,Tomato,Local,Major,7.27,39.8,46.2,46.1,57.7,788.2,27.1,0.92,1293.6,kg_per_acre,Low
Western,Tomato,F1 Hybrid,Major,5.6,34.7,47.4,2.0,124.1,2153.2,25.6,1.34,2109.2,kg_per_acre,Low
Eastern,Tomato,Pectomech,Major,5.84,41.7,74.4,35.5,20.0,1361.2,27.8,2.89,2239.4,kg_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,6.39,65.1,115.7,32.4,128.1,1220.5,29.0,4.17,4048.4,kg_per_acre,Medium
Northern,Maize,Pioneer 30G19,Major,6.51,63.1,81.9,16.3,113.6,1098.1,32.0,2.18,9.22,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,7.09,39.9,56.4,23.0,20.0,1305.4,25.4,9.16,11.55,bags_per_acre,Low
Eastern,Maize,Local,Major,5.62,47.7,65.8,2.0,135.2,1349.0,25.9,0.5,7.22,bags_per_acre,Low
Volta,Maize,Hybrid OPV,Minor,5.53,52.9,167.6,7.2,121.9,1001.5,26.2,2.32,8.57,bags_per_acre,Low
Eastern,Tomato,Local,Major,5.99,50.3,94.3,28.7,59.0,1562.2,28.6,0.5,1818.0,kg_per_acre,Low
Western,Tomato,F1 Hybrid,Minor,5.82,60.6,111.3,2.0,93.7,2053.6,26.3,2.74,2411.2,kg_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.27,36.8,80.0,15.4,100.2,554.8,26.9,1.85,4.82,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Major,7.05,42.6,94.1,19.9,176.4,1113.8,27.1,1.74,8.3,bags_per_acre,Low
Volta,Maize,Local,Major,5.52,57.3,103.7,49.7,207.7,936.0,27.7,0.5,8.84,bags_per_acre,Low
Northern,Tomato,F1 Hybrid,Major,6.46,81.2,126.7,40.7,115.3,1134.6,29.5,0.5,3151.5,kg_per_acre,Medium
Western,Maize,Pioneer 30G19,Major,6.4,43.3,134.5,53.8,71.1,2047.0,25.4,4.46,17.4,bags_per_acre,Medium
Western,Maize,Local,Major,6.01,80.8,29.0,11.9,177.0,1858.1,27.8,1.29,6.53,bags_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Major,6.58,66.6,58.8,39.1,104.8,1433.4,28.8,0.59,4297.8,kg_per_acre,Medium
Northern,Maize,Pioneer 30G19,Major,7.44,75.2,107.3,41.3,133.6,528.3,27.4,2.92,6.55,bags_per_acre,Low
Northern,Maize,Local,Minor,7.83,53.3,100.5,45.4,129.1,939.5,29.6,1.54,5.69,bags_per_acre,Low
Western,Tomato,Pectomech,Major,5.35,47.4,55.3,35.3,138.9,2159.6,24.9,2.43,2476.1,kg_per_acre,Low
Western,Maize,Hybrid OPV,Major,6.06,71.0,89.0,6.6,176.3,1966.1,22.9,9.1,11.53,bags_per_acre,Low
Ashanti,Maize,Hybrid OPV,Minor,5.65,42.1,33.9,70.0,61.6,1275.3,25.4,4.32,10.52,bags_per_acre,Low
Ashanti,Tomato,Pectomech,Minor,6.54,76.1,106.9,66.1,119.0,1081.9,27.8,5.5,2549.0,kg_per_acre,Medium
Northern,Maize,Local,Major,5.39,55.8,98.7,37.3,170.2,860.9,31.3,3.33,6.0,bags_per_acre,Low
Eastern,Tomato,Pectomech,Major,6.27,52.7,61.5,2.0,124.5,1287.5,28.9,0.76,2016.1,kg_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,6.56,71.7,81.1,12.1,123.7,1514.0,24.7,0.8,17.91,bags_per_acre,Medium
Volta,Maize,Pioneer 30G19,Major,5.34,77.4,78.4,46.4,112.1,991.1,28.5,0.5,14.28,bags_per_acre,Medium
Western,Tomato,F1 Hybrid,Major,4.54,74.4,11.1,54.3,169.7,1870.3,25.0,0.88,1440.0,kg_per_acre,Low
Northern,Maize,Local,Major,6.5,51.6,69.2,67.6,146.3,913.3,30.1,0.96,8.79,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,5.99,26.9,47.1,15.1,135.6,1322.1,25.5,0.82,11.12,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,7.19,55.0,182.0,6.1,171.3,707.2,27.8,0.73,2702.6,kg_per_acre,Medium
Ashanti,Tomato,Local,Major,6.63,39.3,111.7,39.0,144.5,1629.0,27.6,1.28,2144.0,kg_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Major,5.59,53.1,63.8,38.9,99.6,1030.7,25.4,2.79,13.91,bags_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Major,5.14,28.1,94.2,24.3,85.9,1215.1,26.2,3.35,8.89,bags_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,6.21,92.5,102.5,47.9,154.1,1157.9,29.1,1.23,2967.4,kg_per_acre,Medium
Eastern,Tomato,Pectomech,Major,4.9,54.9,117.6,40.7,89.0,1201.6,30.6,1.6,1826.3,kg_per_acre,Low
Eastern,Tomato,Local,Minor,5.33,62.4,108.3,24.1,135.5,1375.2,27.2,5.99,1534.7,kg_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.65,47.7,47.0,18.7,172.2,1331.5,26.7,0.62,13.91,bags_per_acre,Medium
Northern,Maize,Pioneer 30G19,Minor,6.46,55.1,41.9,8.3,154.6,843.1,29.3,0.5,6.91,bags_per_acre,Low
Volta,Tomato,Local,Minor,5.53,47.0,69.4,39.6,213.3,1140.2,28.0,0.5,1521.5,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Minor,6.26,57.8,126.1,24.6,189.6,1194.9,27.2,2.83,11.52,bags_per_acre,Low
Northern,Maize,Pioneer 30G19,Major,5.83,44.7,123.0,40.7,154.1,837.5,30.1,3.09,11.78,bags_per_acre,Low
Western,Tomato,Local,Major,5.37,50.5,146.6,24.5,120.9,1974.8,28.4,7.15,1809.0,kg_per_acre,Low
Volta,Maize,Local,Major,6.57,85.2,74.4,8.8,212.7,1126.6,26.5,9.16,7.38,bags_per_acre,Low
Western,Tomato,F1 Hybrid,Major,6.48,54.2,42.8,55.6,224.9,1908.8,27.1,5.12,5060.3,kg_per_acre,High
Ashanti,Tomato,Local,Major,5.94,48.8,119.9,41.5,255.2,1246.6,27.3,8.55,2292.5,kg_per_acre,Low
Volta,Tomato,F1 Hybrid,Minor,6.43,31.5,74.0,37.0,37.5,1128.3,27.3,6.55,1728.4,kg_per_acre,Low
Northern,Tomato,Pectomech,Major,6.54,67.8,128.1,28.4,101.6,867.4,31.7,0.5,2264.3,kg_per_acre,Low
Ashanti,Tomato,Local,Major,6.31,67.6,33.8,87.9,80.6,1163.8,27.3,4.44,1952.1,kg_per_acre,Low
Western,Maize,Hybrid OPV,Major,5.65,33.9,130.0,17.0,144.3,1794.5,25.6,1.64,11.86,bags_per_acre,Low
Brong-Ahafo,Tomato,Local,Minor,5.97,50.0,77.2,16.7,81.2,1364.5,24.5,0.5,1646.0,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Major,6.85,50.8,58.8,79.2,179.8,1224.4,27.3,3.61,10.38,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Minor,6.1,50.6,86.0,29.9,84.9,1265.0,30.2,3.48,3612.5,kg_per_acre,Medium
Eastern,Tomato,Pectomech,Major,5.9,35.4,117.5,22.5,111.2,1042.7,28.1,5.56,2364.2,kg_per_acre,Low
Northern,Tomato,Pectomech,Minor,6.91,61.0,66.4,23.3,137.2,864.7,30.8,0.73,1852.6,kg_per_acre,Low
Northern,Tomato,F1 Hybrid,Major,6.17,44.7,195.5,40.2,157.1,694.4,29.4,4.87,3178.5,kg_per_acre,Medium
Volta,Maize,Pioneer 30G19,Major,5.84,72.3,92.4,62.5,139.8,981.5,29.7,10.73,16.81,bags_per_acre,Medium
Ashanti,Tomato,Pectomech,Major,6.14,20.0,130.5,31.8,308.4,1815.4,26.2,2.72,2004.9,kg_per_acre,Low
Eastern,Tomato,Local,Minor,6.09,34.7,92.8,22.3,112.7,1164.6,28.4,0.64,1351.0,kg_per_acre,Low
Brong-Ahafo,Tomato,F1 Hybrid,Minor,6.41,78.3,143.7,30.4,156.0,1149.3,30.3,5.2,3802.4,kg_per_acre,Medium
Northern,Maize,Pioneer 30G19,Minor,6.58,68.4,88.3,23.8,161.9,1013.8,31.2,0.5,10.67,bags_per_acre,Low
Western,Maize,Local,Minor,5.59,20.7,128.9,41.0,87.5,2217.7,25.9,0.84,5.1,bags_per_acre,Low
Volta,Tomato,Local,Minor,5.94,51.9,89.9,47.2,139.8,1290.7,28.2,14.88,1590.4,kg_per_acre,Low
Volta,Tomato,Pectomech,Minor,6.49,24.9,116.3,88.8,188.1,1307.4,27.7,0.5,1910.2,kg_per_acre,Low
Eastern,Maize,Hybrid OPV,Major,6.17,90.1,115.5,18.1,90.3,1217.0,24.2,12.51,9.36,bags_per_acre,Low
Volta,Tomato,F1 Hybrid,Major,5.77,52.2,131.0,4.6,157.2,1213.4,29.1,0.9,2739.2,kg_per_acre,Medium
Brong-Ahafo,Maize,Local,Minor,6.65,81.9,162.7,41.5,138.7,1114.9,28.3,3.68,8.97,bags_per_acre,Low
Eastern,Tomato,Pectomech,Major,6.07,36.5,128.1,33.5,168.1,1305.2,27.3,5.2,2667.6,kg_per_acre,Medium
Western,Tomato,Pectomech,Major,6.63,63.4,64.7,15.2,91.9,1519.8,26.0,3.35,3019.7,kg_per_acre,Medium
Northern,Tomato,Local,Minor,5.39,68.4,14.6,72.2,101.0,861.0,27.2,0.5,1014.1,kg_per_acre,Low
Volta,Maize,Hybrid OPV,Minor,5.68,54.9,99.8,34.8,132.3,963.8,28.3,2.13,9.38,bags_per_acre,Low
Brong-Ahafo,Maize,Pioneer 30G19,Major,6.07,66.4,50.6,19.5,74.6,1213.6,25.6,8.87,13.41,bags_per_acre,Medium
Brong-Ahafo,Maize,Hybrid OPV,Minor,6.05,72.2,145.4,40.0,56.2,1286.2,29.5,3.31,12.92,bags_per_acre,Medium
Eastern,Maize,Pioneer 30G19,Major,6.28,54.5,110.5,16.8,139.0,1219.0,25.1,5.71,15.69,bags_per_acre,Medium
Western,Tomato,Local,Minor,5.58,53.8,93.5,20.4,143.5,1526.6,24.4,2.76,1935.8,kg_per_acre,Low
Northern,Maize,Hybrid OPV,Major,6.92,63.0,86.5,32.2,130.0,978.4,31.2,0.5,9.19,bags_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Minor,5.65,44.3,136.5,19.6,50.5,1417.1,26.0,1.5,14.95,bags_per_acre,Medium
Eastern,Tomato,Pectomech,Minor,5.88,61.5,16.3,24.3,43.6,1228.6,25.5,4.35,1577.8,kg_per_acre,Low
Western,Maize,Hybrid OPV,Major,5.71,66.5,100.0,43.0,267.1,1739.5,25.3,0.99,16.29,bags_per_acre,Medium
Brong-Ahafo,Tomato,Pectomech,Minor,6.71,68.0,44.1,4.4,90.0,1367.2,29.0,3.07,1477.3,kg_per_acre,Low
Western,Maize,Pioneer 30G19,Major,5.79,64.9,34.5,30.4,121.4,1785.6,23.8,0.91,16.68,bags_per_acre,Medium
Brong-Ahafo,Maize,Local,Major,5.07,56.7,98.7,68.4,45.9,1449.1,27.3,6.94,8.09,bags_per_acre,Low
Western,Tomato,Pectomech,Major,6.95,37.7,133.1,33.3,122.9,1462.0,25.4,0.5,2872.5,kg_per_acre,Medium
Ashanti,Tomato,Pectomech,Minor,5.84,63.1,95.2,2.0,181.7,1329.9,24.6,1.38,1984.8,kg_per_acre,Low
Western,Maize,Hybrid OPV,Minor,5.7,58.6,89.8,23.1,60.9,1837.1,26.4,1.51,11.95,bags_per_acre,Low
Brong-Ahafo,Maize,Hybrid OPV,Minor,5.6,55.8,8.9,19.7,190.3,1197.9,27.1,5.53,7.11,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Major,7.02,63.0,92.4,27.0,169.5,1174.4,26.3,9.98,8.59,bags_per_acre,Low
Western,Maize,Hybrid OPV,Major,5.64,70.5,57.8,38.8,93.9,1742.7,23.5,6.77,13.0,bags_per_acre,Medium
Western,Maize,Pioneer 30G19,Minor,6.22,51.1,5.0,13.2,162.0,1913.6,23.9,1.58,8.38,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Minor,5.47,60.9,96.3,17.9,131.4,1521.9,27.0,5.2,13.51,bags_per_acre,Medium
Northern,Maize,Pioneer 30G19,Minor,6.87,57.1,61.3,48.2,81.3,896.9,30.5,0.5,10.3,bags_per_acre,Low
Brong-Ahafo,Maize,Local,Major,6.82,52.5,151.6,24.5,106.1,1330.5,24.8,4.47,9.29,bags_per_acre,Low
Northern,Tomato,Local,Major,6.4,44.9,35.6,68.6,128.8,836.7,31.8,0.82,1502.8,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Major,5.74,44.6,145.4,42.9,84.2,1370.6,27.2,0.99,10.48,bags_per_acre,Low
Eastern,Tomato,Pectomech,Major,5.69,57.8,34.9,52.3,40.4,1487.4,27.6,6.63,2550.3,kg_per_acre,Medium
Ashanti,Maize,Pioneer 30G19,Minor,6.48,85.2,67.7,7.6,125.1,1864.3,25.3,1.4,11.02,bags_per_acre,Low
Western,Maize,Hybrid OPV,Minor,5.3,40.9,81.4,2.0,91.4,1607.3,26.6,3.68,7.62,bags_per_acre,Low
Eastern,Tomato,Pectomech,Major,5.89,57.7,32.6,23.1,130.6,1225.3,24.8,2.52,2254.7,kg_per_acre,Low
Northern,Tomato,Pectomech,Major,6.55,55.0,122.3,51.0,20.0,878.6,31.6,0.5,1934.0,kg_per_acre,Low
Brong-Ahafo,Maize,Local,Minor,7.04,46.1,71.9,65.7,126.4,1386.1,27.8,6.19,9.2,bags_per_acre,Low
Northern,Tomato,Local,Major,6.92,27.2,134.4,12.2,113.1,1074.2,30.0,0.97,1015.8,kg_per_acre,Low
Western,Tomato,Local,Major,5.6,66.4,115.9,21.3,57.0,1736.5,28.1,0.93,2119.9,kg_per_acre,Low
Ashanti,Maize,Pioneer 30G19,Major,5.87,77.9,93.9,21.4,75.5,1513.3,25.1,1.5,15.61,bags_per_acre,Medium
Western,Maize,Hybrid OPV,Major,4.39,77.1,55.4,32.5,79.9,1952.9,25.2,0.65,3.98,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Major,5.42,22.7,53.4,38.1,95.2,1179.4,26.0,1.73,9.54,bags_per_acre,Low
Eastern,Maize,Pioneer 30G19,Minor,4.53,84.3,78.5,31.2,126.7,1365.5,26.9,2.41,5.92,bags_per_acre,Low
Eastern,Tomato,F1 Hybrid,Minor,6.15,50.3,65.9,16.9,107.9,1127.9,26.3,10.44,3275.0,kg_per_acre,Medium
Western,Maize,Local,Major,5.58,44.5,131.9,2.0,113.0,2139.9,26.6,0.5,8.23,bags_per_acre,Low
Ashanti,Tomato,Local,Major,5.86,46.9,58.7,14.5,195.1,1701.3,25.0,4.34,2048.4,kg_per_acre,Low
Ashanti,Tomato,F1 Hybrid,Minor,6.87,47.2,163.3,51.3,156.5,1466.4,27.1,4.58,3460.0,kg_per_acre,Medium
Ashanti,Maize,Hybrid OPV,Major,6.29,56.7,213.2,57.4,123.0,1228.0,24.1,0.78,16.46,bags_per_acre,Medium
Western,Tomato,F1 Hybrid,Minor,6.32,42.2,54.2,22.6,126.5,1847.5,28.2,2.06,3841.0,kg_per_acre,Medium
Western,Tomato,Pectomech,Major,6.44,47.1,90.6,53.2,218.7,1960.4,25.7,1.5,4058.5,kg_per_acre,Medium
